name,description,employees,total_funding,city,subcountry,lat,lng
abanban,"for people on the go who want to have easy access to small items like pens and earbuds, the kombine by abanban is a great product. compared to a regular water bottle, it has the benefit of keeping the things you need close to you, in one place that is easily accessible. the kombine is a water bottle with an easy-to-access storage compartment that can hold 650ml of water, pencils, pens, erasers, earbuds, snacks like granola bars, coins, sticky notes, lip balm, keys and other small items. on top of that, the kombine is easy to carry around with its sturdy handle and convenient size. there is no water bottle on the market that has a storage compartment that is as convenient to access and is able to store so many different items.",1.0,,toronto,ontario,43.700109999999995,-79.4163
aqua air 247 ,"o waste r/o out door water vending, electronically controlled, environmentally friendly. provides pure r/o and alkiline water direct to the consumer in 1,3 and 5 gallon water containers. manufactured in canada, made for outdoors, the only o waste r/o water vending machine on the market. current contracts with canadian tire, sol petrolunm, working with macs convience stores, iga. business model long term residual from water sales. water from the air, water machines, serves directly to 500 and 700 ml reuseable water bottles. simply plug it in and it makes water from the air. we currently have developed our own freeze technology which no one else has, in process of applying for patents. works in dry climates as well as humid climates. current unit makes 70 to 80 litres a day, currently, working on a large unit that will produce 700 plus litres of pure fresh water a day. we have also developed an air to water unit for the marijuana grow ops. environmentally friendly. no more plastic.",1.0,,kelowna,british columbia,49.883070000000004,-119.48568
taphax,taphax is a real time water consumption tool to save money and promote a sustainable lifestyle to address the intangibility of water waste. taphax faucet can integrate easily onto faucets allowing you to visualize your consumption.,0.0,,kitchener,ontario,43.42537,-80.5112
ontario safety standards,"water purification services, heating & air conditioning/hvac, water heater installation/repair",0.0,,ottawa,ontario,45.41117,-75.69811999999997
z3 controls ,"z3 controls inc.is an advanced energy technology company, focusing on analytics, marketing and sales of energy monitoring, measurement and data-logging information systems, and specializing in enabling energy-efficient solutions. z3 controls singularity of purpose is to decrease energy consumption, save money and reduce the carbon footprint in the following segments and sub-segments: :segments: industrial, commercial , institutional and municipal sub-segments: automotive, paper mills, plastics, metallurgical, mines, motors etc. as well as food and beverage, government and critical infrastructure (water/waste water/water treatment) and gas.",0.0,,markham,ontario,43.866820000000004,-79.2663
canadian comfort home services,"hvac, water heaters, water filtration, air purification, carbon monoxide detector/ smoke detectors, nest thermostat",50.0,,toronto,ontario,43.700109999999995,-79.4163
noddis water security,"this is a custom designed water treatment plant designed for small markets anywhere in the world. this an industrial product that meets the same specification as a large city treatment system reading 15 specific parameters and monitored in real-time by highly skilled engineers and water operators in canada. our network of systems will allow us to provide valuable data to industries, researchers, engineers and medicine. this is a fast scaling business with interest currently with first nations (canada) and contacts in south america and mexico.",0.0,,calgary,alberta,51.05011,-114.08528999999999
alert labs,"alert labsaEUR(tm) insight series protects our customersaEUR(tm) properties by gathering and analyzing real-time data using attractive, reliable, and easy-to-install iot hardware and software. sensors can be installed by anyone in less than 2 minutes, and then they are on the alert for water leaks, floods, power issues, and more. alert labs monitors your water usage, power, heating/cooling, temperature, humidity, sump pump, and water softener. customers receive real-time alerts to their smartphones for emergency events (e.g. a flood), and gain insight with long-term big data analytics (i.e. escalating water use or inefficient equipment) in order to avoid damage to their properties and to save money, hassle, and natural resources. sensors are cellular, so no wi-fi is required. battery back-up ensures sensors continue to monitor during a power outage. our target audiences are property managers, landlords, cottage owners, and home owners.",10.0,,kitchener,ontario,43.42537,-80.5112
steam,"steam puts the smart into water heating. water heating is inefficient and around 18% of energy bills are spent heating water. steams intelligent sensors and algorithms begin learning usage and consumption patterns of individuals and households in a few weeks after installation. this offers users recommendations on savings and begins auto scheduling the most efficient times to heat water. for the user it is a simple 10 minute installation and it retrofits on existing or new tanks, both electric and gas. as soon as steam is installed it begins paying for itself, an average 3 bed house can expect to save around $200 per year depending on usage.",1.0,,montreal,quebec,45.50884,-73.58781
aquatic informatics,"aquatic informatics provides leading software solutions that address critical water data management and analysis challenges for the rapidly growing environmental monitoring industry. aquatic informatics is the trusted provider of hydrologic management solutions to hundreds of federal, state/provincial and local government departments, hydropower operators, mining companies, academic groups, and consulting organizations around the world, who collect, manage, and process large volumes of water quality or quantity data. we have forged strong international relationships with a diverse range of organizations including environment canada aEUR"" water survey canada, the university of british columbia, us geological survey, and southern water of australia to name a few. we offer a full range of solutions, from standalone software packages for individual users, to enterprise-wide national systems serving hundreds of users and processing environmental data from thousands of monitoring stations.",0.0,,vancouver,british columbia,49.24966,-123.11934
sanzfield technologies,"sanzfield allows homeowners and small communities to recycle their wastewater. water consumption is reduced by 90%+. creates sustainable, reliable sources of clean water in any setting. it consumes very low amounts of power, uses no filters, requires no chemicals and creates no toxic byproduct. the technology is scalable and configurable to apply to many global market applications from sterilizing harvested rainwater to on-site blackwater recycling. current clients & target markets range from recreational property owners to developers of multi-family properties and from water-based charities to local governments. depending on the application purchased clients derive the following value: 1. avoid the costly investment of relaying a failed septic field. 2. lower water & sewage costs by reducing consumption and discharge by 90%+. 3. access to clean water that contains no chemicals or associated toxic byproducts. 4. massively increased access to potable water in remote areas.",1.0,,toronto,ontario,43.70011,-79.4163
clean wave products international,"water is our future! without water we do not survive. we are currently at the cusp of a water revolution. we are starting to see the signs of the future issues with the stress we have put on water around the globe. with long droughts showing up all over the planet, water shortages, water borne diseases appearing in tap and bottled water, and huge amounts of bottles now in the oceans and land fill sites. the general public is now starting to take notice that we have a serious issue facing the planet, but the problem is so large and new most people don't know how to fix the problem. the solution is the certified konia atmospheric water generator system, we collect the moisture and purify it using a very cost effective method. the systems are modular and range from a small household unit that can make 23 litres per day to large commercial systems that make over 500,000 litres per day.these units can reduce the cost of pure clean water to less than $0.02 per gallon.",0.0,,calgary,alberta,51.05011,-114.08528999999999
fredsense technologies,"we are fredsense technologies, a calgary based start-up company looking to develop next generation biosensors for detecting chemicals in water. our product, the field ready electrochemical detector (fred) allows you to monitor water for select contaminants remotely and easily. using a combination of synthetic biology and electrical engineering, fred allows users to monitor water sources for specific contaminants and can quantitate levels of these down to low parts per billion levels. the system is designed to be remote, meaning you leave fred on-site at a water monitoring location and you don't need to send someone to take a sample. the data can be sent wirelessly to you allowing you to make better decisions and detect potential problems before they occur. our first customers are mining companies who need to detect heavy metals in water sources surrounding their mines in remote locations, and an on-site solution provides them large savings in both cost and time.",10.0,,calgary,alberta,51.05011,-114.08528999999999
bamboo water,"what is bamboo water? simply put, itaEUR(tm)s water infused with an extract of nutritious bamboo leaves. ""bamboo leaves have antioxidant properties. antioxidants help to keep the balance of free radicals and ward off any excess amount that can cause a large variety of problems. it is also great for healthy skin."" home remedies for you. whether you are an athlete or dancer who wants to maximize performance, a yogi who wants to stay zen, or a student who needs a clear mind, bamboo water is the new and natural way to keep you hydrated. this multi-functional drink allows you to be healthy and support environmental sustainability. bamboo water is the strong, smart, and sustainable choice for you, our planet, and our future generations. what does bamboo water taste like? here are words that have been used by testers to describe the taste: clean fresh bright energizing different delicious sweet cool and of course they said, aEURoefantasticaEUR, aEURoeamazing""..",0.0,,toronto,ontario,43.70011,-79.4163
green water international,we have a non-clogging spinning membrane technology that cleans grey water. once installed it can reuse rain water or water from bathtubs and sinks to reuse. it saves significantly on water costs and environmental impact. can be installed in individual bathrooms on each floor or as a larger unit for a larger building. with the greening of corporations... and homes..this product is in the fast growing green market. proven as a multi-million dollar ($400mm) revenue generator in the blood products market. secured large grant from federal government. need capital to leverage grant to create working product. market need and acceptance very high.,1.0,,ottawa,ontario,45.41117,-75.69811999999997
